Probe_ID,bcell,cd4,cd8,monocyte,nk,neutrophil
cg18881723,0.0142345180453513,0.0158033972245077,0.1358018727940141,0.0125508494692464,0.7329817265823152,0.0244532509545563
cg01909656,0.0088870274274177,0.007028960620436,0.0120053271594005,0.001766617844386,0.2800378412386948,0.0019930163715561
cg14433374,0.1010040796013862,0.9698390640346948,0.9696610800957068,0.979426400323102,0.9667999534958912,0.976750656518412
cg02237342,0.0106666666666666,0.0158571428571428,0.0143333333333333,0.1036666666666666,0.0203333333333333,0.0156666666666666
cg14080745,0.3315824354544991,0.0119079386256963,0.0105824709569319,0.0191978589622965,0.013852292770094,0.0075145860731302
cg26504509,0.9733026048908026,0.975185425995698,0.9790135142223524,0.9399947450990724,0.9715591999840864,0.1966223544389437
cg16683571,0.9795317927251458,0.9826410453460716,0.987850755978832,0.9733784622986212,0.9830825836758108,0.1472576065730436
cg21983607,0.9811000930976514,0.985400201019499,0.9793149460343306,0.1656884518995614,0.9878762210649158,0.8382559451652315
cg06516865,0.0012525441731925,0.0140918154298605,0.0235896880795295,0.0035243024462448,0.0473687610065531,0.354068630507554
cg15633603,0.9789200110421088,0.969722610257543,0.9697150925600804,0.2545981167609517,0.951237127645016,0.8936952680127094
cg08145700,0.0030924515902263,0.0504201725162924,0.1945393329599138,0.0076178078645926,0.0117782868143765,0.0053095397572933
cg13238744,0.9821674343578984,0.3490034696492544,0.8638563861822087,0.9859896508888072,0.9717866242843134,0.9833060118034076
cg04554131,0.0261976003132,0.0143703299431465,0.0075850873524208,0.0166482315974855,0.0106747764570018,0.3457015041824253
cg06390391,0.1229662983163151,0.0008845281213076,0.0006221863655429,0.0052483517875865,0.0125475619924531,0.0073552514708009
cg25661275,0.1609649366431431,0.0034306612119987,0.0020259397893779,0.0072271553215824,0.00340982764834,0.0042425897705558
cg02611741,0.9597404161771858,0.6113495628056745,0.8264951985867667,0.960030594996936,0.9099790496248312,0.9633519353394948
cg15139660,0.0106381704377945,0.9762843069875536,0.9794422918277652,0.9736166638791736,0.9705944614525096,0.9684767204803428
cg10247643,0.9812907476450078,0.9796657842559404,0.9745076355225328,0.3863028493115593,0.9713803518030396,0.926958681926738
cg16795263,0.0085862272059072,0.0079315595876701,0.0196898119824197,0.0981635472587617,0.0044435029959406,0.3602993272202516
cg04686571,0.0260060914071875,0.9734237009831572,0.9688082006525796,0.9661265142959596,0.9615816105986762,0.9662908345114084
cg18786123,0.0289576841887088,0.0280362147258739,0.0662237445572754,0.0003828475350039,0.4861158468794335,0.0011366289220575
cg00878274,0.0286823734223892,0.0133082707518239,0.0096403270134616,0.5209484206008713,0.0130993360237568,0.2431609865768566
cg00025591,0.0122975584307016,0.1519432043322935,0.0308842049859404,0.0011672545918931,0.0033246791644277,0.001942331191534
cg23039471,0.0155566004729253,0.0477820891375887,0.1626474637393163,0.0009972307281284,0.012003124658812,0.0015904915408755
cg19376799,0.973378258567136,0.3097178046114728,0.9239041618077314,0.9787572369567692,0.80906957511471,0.9757591720390504
cg04995521,0.9843981853913072,0.7363979883569105,0.958194491100206,0.9802718168250456,0.96888624264886,0.967265236290647
cg25150021,0.0092476101138503,0.0356682686843916,0.1113390472185943,0.0022176646642467,0.0031947774601991,0.0040109280602747
cg26796793,0.9855,0.9658571428571427,0.6735000000000001,0.9841666666666667,0.9833333333333334,0.9813333333333332
cg20098659,0.9882264760265196,0.9869496327439046,0.989685422176648,0.9683330078300468,0.9785464743890128,0.3798613342471084
cg08677627,0.2206378080159738,0.0264909880351216,0.0343548421525307,0.4413086356376038,0.0107359009086626,0.0103547428322405
cg13928417,0.0262250318508925,0.0481547419188423,0.3074734607121098,0.0149234490271134,0.0349644223360714,0.0169970752659765
cg07661702,0.9514345673257304,0.8922886999626666,0.6400430284214855,0.9742497964372197,0.9006943902661314,0.9722377207789804
cg12393589,0.9717130775234044,0.9555583512083266,0.7588616579171328,0.985762517688022,0.951142231320536,0.9818621754737188
cg06570075,0.0120429403151701,0.2374877339832542,0.0388438830864417,0.0121942988831206,0.0114667827209503,0.0115566074986117
cg17343120,0.0068596708957123,0.0060492941172923,0.0051858833516085,0.1033524342212665,0.0098928033794387,0.0353515066356124
cg22689269,0.9761261292660636,0.9745979839834916,0.9445410384886682,0.9768366317723336,0.374641777811498,0.9736662422966748
cg04087814,0.0049230708584514,0.0134832895222022,0.0268252150564399,0.0021077213307834,0.2466768726069535,0.0035295124381375
cg02099683,0.0945771400014847,0.0381668727430089,0.0351052127183628,0.5023655726356389,0.0293631317778521,0.2060777154690218
cg27292588,0.0078841814087795,0.0077174935313617,0.0052627013361856,0.0064952226193108,0.0054229580766329,0.0933837386027644
cg18575989,0.0020877665190753,0.0099136969197363,0.0344106616485007,0.0035906611848507,0.1749385784315965,0.0045381579145515
cg01899759,0.9723816379253162,0.9746558325236062,0.980204863017896,0.942273313784908,0.9720026723159676,0.0288652720620008
cg24706505,0.186741950271628,0.7923792401124002,0.5927803380093525,0.0532005008865555,0.0664449072219976,0.0229553914112901
cg11875119,0.0129987541538256,0.0167295039358121,0.1103150956995051,0.0022745599075819,0.0169091531410745,0.0035729285800253
cg07637516,0.0027085326340175,0.0624484219715186,0.3168369139471431,0.0015985772889098,0.1028150844123961,0.001649981867252
cg24572003,0.0611144739948388,0.0063726253456727,0.0060513053897507,0.1306882013229512,0.0058470802515988,0.0344411883760663
